"relinqu&#x14d;, ere, l&#x12b;qu&#x12b;, lictus          ","leave, desert, surrender, abandon, relinquish"
"r&#x113;mus, &#x12b; [m]                                ","oar"
"r&#x113;s, re&#x12b; [f]                                ","thing, affair, matter, deed, fact, fortune; state, commonwealth"
"r&#x113;x, r&#x113;gis [m]                              ","king"
"ru&#x14d;, ere, &#x12b;                                 ","fall; rush; sink; plow"
"sacer, cra, crum                                        ","holy, consecrated; accursed; n. subst. sacrifice, holy implement; mystery"
"sanguis, inis [m]                                       ","blood; race, decendant"
"saxum, &#x12b; [n]                                      ","stone, rock, reef, cliff, crag"
"sed                                                     ","but, moreover, however"
"s&#x113;d&#x113;s, is [f]                               ","seat; abode, habitation; bottom; tomb, shrine; place, region"
"sequor, &#x12b;, sec&#x16b;tus                          ","follow, attend, pursue, accompany, seek"
"serv&#x14d;(1)                                          ","observe, watch; preserve, save, guard, keep, rescue; nurse"
"si                                                      ","whether, if (only), in case that"
"s&#x12b;c                                               ","thus, so, in this manner"
"sidus, eris [n]                                         ","star, constellation, meteor; season, weather; heaven"
"silva, ae [f]                                           ","forest, wood(s), tree(s)"
"simul; simul atque                                      ","at the same time, together; as soon as"
"socius, (i)&#x12b; [m]                                  ","ally, comrade, follower"
"s&#x14d;lus, a, um                                      ","alone, only, lonely, sole"
"somnus, &#x12b; [m]                                     ","sleep, slumber, dream"
"st&#x14d;, &#x101;re, stet&#x12b;, status               ","stand (fast, up); halt; endure; stick (to), remain"
"sub                                                     ","(from) under, close (to), beneath, (deep) in, after (acc., abl.)"
"sube&#x14d;, &#x12b;re, &#x12b;v&#x12b;(i&#x12b;), itus ","go under, bear; approach, enter; arise (dat.)"
"subl&#x101;tus, a, um                                   ","see tollo, tollere"
"su&#x12b;                                               ","of (him, her, it)self, themselves; him, her, it, them"
"sum, esse, fu&#x12b;, fut&#x16b;rus                     ","be, exist"
"summus                                                  ","(superlative of superus)highest, utmost"
"super                                                   ","above, beyond, left, in addition, upon, concerning, about (acc., abl.)"
"superus, a, um                                          ","upper, higher, above; (substantive) god, divinity"
"supr&#x113;mus, a, um                                   ","(superlative of superus)highest"
"surg&#x14d;, ere, surr&#x113;x&#x12b;, surr&#x113;ctus  ","raise, (a)rise, spring up, surge"
"sustul&#x12b;                                           ","see tollo, tollere"
"suus, a, um                                             ","his her its, their (own)"
"t&#x101;lis, e                                          ","such, of such a kind, the following"
"tandem                                                  ","at length, finally; pray"
"tantus, a, um                                           ","so great, so much, so far"
"t&#x113;ctum, &#x12b; [n]                               ","roof; house, home, abode"
"tell&#x16b;s, &#x16b;ris [f]                            ","earth, land, country"
"t&#x113;lum, &#x12b; [n]                                ","weapon; wound, blow"
"tempus, oris [n]                                        ","time; occasion, crisis"
"tend&#x14d;, ere, tetend&#x12b;, tentus                 ","stretch; hasten, strive, (ex)tend, aim; tent"
"tene&#x14d;, &#x113;re, u&#x12b;, tus                   ","have, hold, restrain"
"terra, ae [f]                                           ","earth, land, country, soil"
"Teucrus, a, um                                          ","Teucrian, Trojan"
"toll&#x14d;, ere, sustul&#x12b;, subl&#x101;tus         ","lift, raise, upheave, stir up; remove, destroy"
"t&#x14d;tus, a, um                                      ","all, every, whole, full"
"trah&#x14d;, ere, tr&#x101;x&#x12b;, tractus            ","drag (out), draw (in), lead, protract, spend"
"tr&#x12b;stis, e                                        ","sad, unhappy, dreary, fatal"
"Troja, ae [f]                                           ","Troy, a city in Asia Minor"
"t&#x16b;, tu&#x12b;                                     ","(second person pronoun)you(pl. vos, vestrum)"
"tul&#x12b;                                              ","see fer&#x14d;"
"tum, tunc                                               ","then, at that time; further"
"tuus, a, um                                             ","your(s), your own"
"Tyrius, a, um                                           ","Tyrian, Carthaginian"
"ubi                                                     ","where, when, as soon as"
"&#x16b;llus, a, um                                      ","any, any one"
"umbra, ae [f]                                           ","shade, shadow, ghost"
"umerus, &#x12b;                                         ","shoulder"
"unda, ae [f]                                            ","wave, billow, water, sea"
"&#x16b;nus, a, um                                       ","one, only, alone, single"
"urbs, urbis [f]                                         ","city, town"
"ut(&#x12b;                                              ","as, when; that, so; how"
"vastus, a, um                                           ","desolate, vast, enormous"
"v&#x101;t&#x113;s, is [m/f]                             ","prophet, seer, bard"
"-ve, vel; vel...vel                                     ","or, either; either...or"
"velim, velle, vellem                                    ","see volo, velle"
"v&#x113;lum, &#x12b; [n]                                ","cloth, canvas, sail"
"veni&#x14d;, &#x12b;re, v&#x113;n&#x12b;, ventus        ","come, go"
"ventus, &#x12b; [m]                                     ","wind, breeze, blast, air"
"via, ae [f]                                             ","way, road, journey, street"
"victor, &#x14d;ris [m]                                  ","victor; (adj.) victorious"
"vide&#x14d;, &#x113;re, v&#x12b;d&#x12b;, v&#x12b;sus   ","see, preceive; (passive) be seen, appear, seem (best)"
"vinc&#x14d;, ere, v&#x12b;c&#x12b;, victus              ","conquer, surpass"
"vir, &#x12b; [m]                                        ","man; hero; husband"
"v&#x12b;r&#x113;s                                       ","force, violence, energy(pl. vires, strength)"
"v&#x12b;s, v&#x12b;s [f]                                ","force, violence, energy(pl. vires, strength)"
"v&#x12b;ta, ae [f]                                      ","life, soul, spirit"
"vix                                                     ","scarcely, feebly, with difficulty"
"voc&#x14d;(1)                                           ","call, name, address, convoke, invoke, invite, challenge"
"vol&#x14d;, velle, volu&#x12b;                          ","will, wish, be willing"
"volv&#x14d;, ere, &#x12b;, vol&#x16b;tus                ","revolve, (un)roll, roll (round, through); undergo"
"v&#x14d;x,  cis                                          ","voice, word, speech, sound"

